room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12040910,47826896,Entire home/apt,,VIEUX CARRE,2,,6,1.0,475.0,2.0,29.959247,-90.065368,2016-05-17 15:39:09.775660
2145325,3461431,Private room,,EAST RIVERSIDE,86,5.0,3,1.0,45.0,,29.918555,-90.097825,2016-05-17 15:38:44.004743
716663,2103275,Entire home/apt,,FAIRGROUNDS - BROAD,52,4.5,12,3.0,245.0,2.0,29.980336,-90.074624,2016-05-17 15:38:07.913116
12932083,70253404,Entire home/apt,,SEVENTH WARD,0,,5,2.0,130.0,1.0,29.977264,-90.070955,2016-05-17 15:38:04.345169
6502852,33990447,Entire home/apt,,VIEUX CARRE,42,4.5,10,3.0,300.0,,29.960957,-90.065802,2016-05-17 15:37:51.640651
5065937,26159570,Entire home/apt,,FAIRGROUNDS - BROAD,4,5.0,4,2.0,80.0,2.0,29.983807,-90.0745,2016-05-17 15:37:42.537865
4872603,17015231,Entire home/apt,,EAST CARROLLTON,24,5.0,10,4.0,525.0,2.0,29.949939,-90.121436,2016-05-17 15:37:38.377830
10898737,56241346,Entire home/apt,,ST. THOMAS AREA - LOWER GARDEN DISTRICT,2,,3,1.0,99.0,1.0,29.944935,-90.068958,2016-05-17 15:37:31.232598
6447234,26602555,Private room,,EAST CARROLLTON,0,,2,1.0,50.0,1.0,29.943971,-90.123936,2016-05-17 15:36:54.192643
8143127,27278151,Entire home/apt,,FILLMORE,0,,8,3.0,195.0,3.0,30.006525,-90.082011,2016-05-17 15:36:40.436878
5705875,29581182,Entire home/apt,,FAIRGROUNDS - BROAD,11,4.0,4,2.0,100.0,2.0,29.986351,-90.077812,2016-05-17 15:36:36.836373
866070,2488332,Entire home/apt,,EAST CARROLLTON,42,4.5,4,2.0,85.0,2.0,29.949837,-90.124661,2016-05-17 15:36:33.622400
2902155,8556714,Entire home/apt,,MARIGNY,27,4.0,6,1.0,99.0,1.0,29.965181,-90.061057,2016-05-17 15:36:22.032366
12903942,48882251,Entire home/apt,,LEONIDAS - WEST CARROLLTON,0,,4,2.0,169.0,,29.957467,-90.124097,2016-05-17 15:36:09.303400
1939193,3363830,Shared room,,SIXTH WARD - TREME - LAFITTE,17,4.5,2,1.0,45.0,1.0,29.964266,-90.072428,2016-05-17 15:35:37.614409
8130735,37350380,Entire home/apt,,LEONIDAS - WEST CARROLLTON,24,4.5,6,1.0,100.0,1.0,29.94972,-90.131673,2016-05-17 15:35:29.765212
1283353,5316723,Entire home/apt,,ST. CLAUDE,152,4.5,4,1.0,88.0,2.0,29.965624,-90.036416,2016-05-17 15:34:50.902710
11492461,60225266,Private room,,MID-CITY,3,5.0,4,1.0,45.0,1.0,29.967081,-90.101107,2016-05-17 15:34:47.597552
5248796,2103086,Entire home/apt,,ST. THOMAS HOUSING DEV,8,5.0,2,1.0,58.0,2.0,29.927833,-90.074568,2016-05-17 15:34:30.891025
3775413,19357840,Entire home/apt,,VIEUX CARRE,5,5.0,6,2.0,350.0,3.0,29.952601,-90.06588,2016-05-17 15:33:20.585981
3003879,10508107,Private room,,BYWATER,145,4.5,2,1.0,89.0,1.0,29.962696,-90.038302,2016-05-17 15:33:09.277281
11480072,43782388,Entire home/apt,,CENTRAL BUSINESS DISTRICT,4,5.0,6,2.0,200.0,1.0,29.95175,-90.06834,2016-05-17 15:32:40.491821
12453263,5319473,Entire home/apt,,MARIGNY,1,,8,2.0,100.0,1.0,29.964486,-90.059643,2016-05-17 15:32:27.727276
10790459,55837234,Entire home/apt,,LEONIDAS - WEST CARROLLTON,21,5.0,6,3.0,115.0,2.0,29.951779,-90.128834,2016-05-17 15:32:07.075550
5637381,29216195,Private room,,DILLARD,58,5.0,3,1.0,40.0,1.0,29.992515,-90.060528,2016-05-17 15:31:54.054715
12244664,53957060,Entire home/apt,,SEVENTH WARD,0,,8,3.0,150.0,2.0,29.973109,-90.059618,2016-05-17 15:31:17.897600
6353116,33096945,Entire home/apt,,MARLYVILLE - FONTAINBLEAU,10,5.0,6,3.0,225.0,2.0,29.945384,-90.109192,2016-05-17 15:31:11.706477
12796359,68923336,Entire home/apt,,MID-CITY,2,,5,2.0,125.0,1.0,29.972702,-90.097442,2016-05-17 15:30:59.242672
5722698,27726979,Private room,,SEVENTH WARD,51,5.0,2,1.0,99.0,3.0,29.973454,-90.073625,2016-05-17 15:30:35.679858
12181815,64334,Entire home/apt,,ST. CLAUDE,0,,3,1.0,250.0,1.0,29.968963,-90.044697,2016-05-17 15:30:28.643198
12580340,67959716,Private room,,SEVENTH WARD,3,4.5,2,1.0,80.0,2.0,29.971684,-90.071285,2016-05-17 15:30:21.545023
307767,1583439,Entire home/apt,,IRISH CHANNEL,1,,6,3.0,330.0,3.0,29.923515,-90.084332,2016-05-17 15:30:13.861188
10270561,38162397,Entire home/apt,,VIEUX CARRE,14,5.0,6,2.0,250.0,3.0,29.954844,-90.062932,2016-05-17 15:30:05.966262
8935424,11209120,Entire home/apt,,MARIGNY,6,5.0,2,0.0,150.0,4.0,29.967316,-90.053005,2016-05-17 15:29:32.025609
9641246,4763702,Entire home/apt,,CENTRAL BUSINESS DISTRICT,0,,5,2.0,1000.0,5.0,29.949435,-90.066344,2016-05-17 15:29:27.843314
2847390,14518129,Private room,,MARIGNY,142,5.0,2,1.0,87.0,,29.964586,-90.060209,2016-05-17 15:29:05.445746
12588328,68278957,Entire home/apt,,FAIRGROUNDS - BROAD,0,,4,1.0,300.0,1.0,29.981707,-90.074569,2016-05-17 15:29:01.161832
10393990,53475989,Entire home/apt,,VIEUX CARRE,4,4.5,6,2.0,249.0,1.0,29.96226,-90.063711,2016-05-17 15:28:58.093873
10880423,56271422,Private room,,BAYOU ST. JOHN,2,,2,1.0,85.0,2.0,29.973657,-90.086686,2016-05-17 15:28:50.339583
11526626,53450299,Private room,,EDGELAKE - LITTLE WOODS,1,,2,1.0,75.0,1.0,30.037991,-90.00816,2016-05-17 15:28:46.420423
13018613,8369533,Shared room,,WEST RIVERSIDE,0,,2,1.0,40.0,1.0,29.920521,-90.103972,2016-05-17 15:28:24.731447
11712083,62263818,Entire home/apt,,WEST RIVERSIDE,4,5.0,9,4.0,900.0,3.0,29.918239,-90.115973,2016-05-17 15:28:21.295398
9857204,50739695,Entire home/apt,,SEVENTH WARD,9,4.5,3,1.0,115.0,3.0,29.969314,-90.065525,2016-05-17 15:27:45.615579
2798152,5310703,Entire home/apt,,MARIGNY,32,5.0,2,1.0,145.0,3.0,29.963984,-90.058064,2016-05-17 15:27:41.737080
7349457,20092476,Entire home/apt,,SEVENTH WARD,23,4.5,10,3.0,159.0,,29.975901,-90.057783,2016-05-17 15:27:27.056677
9750152,19833688,Private room,,ST. CLAUDE,13,5.0,2,1.0,70.0,2.0,29.96581,-90.044587,2016-05-17 15:27:22.259610
8972539,27284037,Entire home/apt,,ST. ROCH,37,4.5,4,2.0,90.0,2.0,29.974125,-90.051197,2016-05-17 15:27:18.277920
6493058,19926019,Private room,,TULANE - GRAVIER,53,5.0,2,1.0,69.0,3.0,29.961225,-90.079044,2016-05-17 15:27:05.753828
5336091,27653543,Entire home/apt,,NAVARRE,70,5.0,3,1.0,100.0,,29.990614,-90.1044,2016-05-17 15:27:02.983534
5112558,24954333,Entire home/apt,,VIEUX CARRE,0,,4,1.0,150.0,1.0,29.952913,-90.066342,2016-05-17 15:26:25.713052
12207747,65648318,Entire home/apt,,BAYOU ST. JOHN,0,,4,2.0,700.0,1.0,29.976827,-90.084339,2016-05-17 15:26:14.504937
887399,4705710,Entire home/apt,,MID-CITY,31,5.0,6,3.0,400.0,1.0,29.970346,-90.100133,2016-05-17 15:26:08.239724
3192694,16182494,Entire home/apt,,SEVENTH WARD,3,4.5,4,2.0,155.0,1.0,29.978262,-90.072642,2016-05-17 15:25:28.818854
6207256,11906174,Private room,,MID-CITY,73,4.5,3,1.0,30.0,1.0,29.968995,-90.095527,2016-05-17 15:25:24.445878
9840364,50303114,Entire home/apt,,VIEUX CARRE,3,5.0,2,1.0,250.0,3.0,29.961263,-90.060299,2016-05-17 15:25:01.433416
1044854,5751780,Entire home/apt,,LEONIDAS - WEST CARROLLTON,45,5.0,6,2.0,105.0,3.0,29.95767,-90.119841,2016-05-17 15:24:57.560965
12056967,64578625,Entire home/apt,,MARIGNY,8,5.0,4,1.0,118.0,2.0,29.966005,-90.057495,2016-05-17 15:24:50.994274
927954,4993714,Private room,,EAST RIVERSIDE,16,4.5,3,1.0,59.0,2.0,29.919137,-90.085959,2016-05-17 15:24:19.809695
8800506,21050084,Entire home/apt,,EAST RIVERSIDE,20,4.5,2,1.0,50.0,1.0,29.922604,-90.088952,2016-05-17 15:23:51.854161
12191569,46346831,Entire home/apt,,McDONOGH,0,,2,1.0,200.0,4.0,29.944272,-90.050064,2016-05-17 15:23:44.834765
3377615,17039730,Entire home/apt,,GENTILLY TERRACE,1,,6,2.0,95.0,1.0,29.99395,-90.056816,2016-05-17 15:23:08.909587
10328035,51834366,Entire home/apt,,MID-CITY,10,5.0,4,0.0,99.0,2.0,29.980282,-90.101575,2016-05-17 15:23:05.594053
3791117,19461396,Entire home/apt,,LEONIDAS - WEST CARROLLTON,0,,16,5.0,1495.0,3.0,29.947398,-90.13091,2016-05-17 15:22:44.351600
10243230,50825426,Entire home/apt,,VIEUX CARRE,15,4.5,6,1.0,190.0,,29.963453,-90.063266,2016-05-17 15:22:41.678903
2642462,6600252,Entire home/apt,,UPTOWN,20,4.5,2,1.0,125.0,2.0,29.920984,-90.104369,2016-05-17 15:22:12.490999
12357751,66745411,Entire home/apt,,VIEUX CARRE,0,,3,1.0,300.0,3.0,29.960879,-90.062192,2016-05-17 15:21:52.148927
11618499,8050200,Entire home/apt,,ST. THOMAS HOUSING DEV,6,5.0,4,1.0,95.0,,29.925884,-90.074345,2016-05-17 15:21:12.959589
8116185,921339,Private room,,LEONIDAS - WEST CARROLLTON,1,,2,1.0,49.0,3.0,29.955089,-90.12364,2016-05-17 15:21:02.944240
10359749,50825426,Entire home/apt,,SIXTH WARD - TREME - LAFITTE,8,4.5,9,3.0,300.0,,29.965805,-90.0654,2016-05-17 15:20:58.798872
9676682,48867013,Entire home/apt,,LEONIDAS - WEST CARROLLTON,4,4.5,7,3.0,325.0,3.0,29.948948,-90.131205,2016-05-17 15:20:41.981244
9769626,27282429,Entire home/apt,,GERT TOWN - ZION CITY,4,5.0,8,2.0,210.0,1.0,29.958253,-90.106561,2016-05-17 15:20:35.653279
9874854,10352115,Entire home/apt,,ST. THOMAS AREA - LOWER GARDEN DISTRICT,1,,3,1.0,150.0,2.0,29.938915,-90.069421,2016-05-17 15:20:24.875562
11686966,32187754,Entire home/apt,,SEVENTH WARD,8,5.0,2,1.0,115.0,3.0,29.970179,-90.062688,2016-05-17 15:20:01.384709
11620387,61537678,Entire home/apt,,WEST RIVERSIDE,9,5.0,6,2.0,85.0,2.0,29.918503,-90.111817,2016-05-17 15:19:57.254332
8801061,46117862,Private room,,LEONIDAS - WEST CARROLLTON,1,,2,1.0,95.0,1.0,29.947379,-90.130394,2016-05-17 15:19:33.905625
6865123,30797083,Entire home/apt,,SEVENTH WARD,4,5.0,3,0.0,130.0,3.0,29.975971,-90.077913,2016-05-17 15:19:14.605496
12855622,2339252,Entire home/apt,,BYWATER,0,,2,0.0,125.0,1.0,29.961981,-90.0382,2016-05-17 15:19:02.689031
8721612,20411817,Private room,,LEONIDAS - WEST CARROLLTON,13,4.5,2,1.0,29.0,3.0,29.959088,-90.122803,2016-05-17 15:18:59.821355
8938707,29216195,Private room,,GENTILLY TERRACE,20,4.5,2,1.0,60.0,1.0,29.99224,-90.058373,2016-05-17 15:18:51.337051
5806190,22009547,Private room,,SIXTH WARD - TREME - LAFITTE,79,5.0,2,1.0,49.0,1.0,29.973736,-90.076375,2016-05-17 15:18:36.233152
10830568,13790858,Private room,,LOWER NINTH WARD,1,,2,1.0,59.0,2.0,29.968688,-90.011016,2016-05-17 15:18:28.367247
12220287,26927692,Entire home/apt,,FAIRGROUNDS - BROAD,1,,4,2.0,350.0,1.0,29.981989,-90.074158,2016-05-17 15:18:09.475905
4875454,25082081,Entire home/apt,,ST. CLAUDE,67,5.0,5,2.0,85.0,3.0,29.971695,-90.034123,2016-05-17 15:17:51.111585
268386,1406717,Private room,,CENTRAL CITY - MAGNOLIA,119,5.0,2,1.0,80.0,3.0,29.933939,-90.086803,2016-05-17 15:17:28.666651
4293751,4962900,Entire home/apt,,CENTRAL BUSINESS DISTRICT,15,4.0,8,3.0,308.0,,29.95147,-90.070371,2016-05-17 15:17:04.662758
857111,564637,Entire home/apt,,IRISH CHANNEL,102,4.5,5,2.0,63.0,3.0,29.92394,-90.079873,2016-05-17 15:16:50.201441
2390896,12212206,Entire home/apt,,AUDUBON - UNIVERSITY,5,5.0,2,1.0,150.0,4.0,29.933138,-90.131056,2016-05-17 15:16:41.569803
906027,4848693,Entire home/apt,,ST. THOMAS AREA - LOWER GARDEN DISTRICT,49,5.0,4,1.0,195.0,2.0,29.933665,-90.066794,2016-05-17 15:16:31.611849
6185684,22211807,Private room,,AUDUBON - UNIVERSITY,5,5.0,2,1.0,100.0,1.0,29.93407,-90.120062,2016-05-17 15:16:25.575001
4120403,7745734,Private room,,ST. THOMAS AREA - LOWER GARDEN DISTRICT,18,5.0,2,1.0,129.0,2.0,29.929466,-90.06882,2016-05-17 15:16:18.008302
9349689,22449191,Entire home/apt,,SEVENTH WARD,1,,10,5.0,775.0,,29.971908,-90.071889,2016-05-17 15:16:04.871365
7146373,27104193,Shared room,,SEVENTH WARD,15,4.5,1,1.0,25.0,1.0,29.976994,-90.058696,2016-05-17 15:16:01.307092
10157112,19121894,Entire home/apt,,CENTRAL CITY - MAGNOLIA,7,5.0,5,1.0,100.0,,29.938369,-90.077496,2016-05-17 15:15:49.957629
12154772,45277980,Entire home/apt,,VIEUX CARRE,3,5.0,5,2.0,250.0,3.0,29.956923,-90.064509,2016-05-17 15:15:42.340682
