room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
873676,4612002,Entire home/apt,,TOURO,3,4.5,5,2.0,425.0,3.0,29.922805,-90.099579,2016-07-15 17:02:35.763535
4164638,4823282,Entire home/apt,,VIEUX CARRE,43,4.0,4,2.0,200.0,2.0,29.957248,-90.068546,2016-07-15 17:02:27.086420
3775413,19357840,Entire home/apt,,VIEUX CARRE,8,5.0,6,2.0,350.0,3.0,29.952601,-90.06588,2016-07-15 17:01:44.409144
5068870,26175051,Entire home/apt,,VIEUX CARRE,57,4.5,6,1.0,149.0,,29.961179,-90.066275,2016-07-15 17:01:20.395305
2319911,11847655,Entire home/apt,,AUDUBON - UNIVERSITY,109,5.0,2,1.0,130.0,2.0,29.92212,-90.117827,2016-07-15 17:01:07.118048
13020074,70403538,Entire home/apt,,MARIGNY,0,,6,1.0,125.0,,29.967759,-90.058127,2016-07-15 17:00:49.342311
12945376,814088,Entire home/apt,,BAYOU ST. JOHN,2,,5,2.0,100.0,2.0,29.974851,-90.080325,2016-07-15 17:00:42.124987
10457293,15357546,Entire home/apt,,LEONIDAS - WEST CARROLLTON,16,5.0,2,1.0,79.0,1.0,29.955119,-90.134886,2016-07-15 17:00:23.949240
11055808,21063599,Entire home/apt,,SIXTH WARD - TREME - LAFITTE,22,4.5,6,2.0,120.0,2.0,29.964261,-90.069469,2016-07-15 17:00:09.479133
9031128,18098271,Entire home/apt,,MARLYVILLE - FONTAINBLEAU,36,5.0,4,2.0,100.0,1.0,29.954725,-90.121398,2016-07-15 16:59:48.413368
696864,1199300,Entire home/apt,,VIEUX CARRE,99,4.5,2,1.0,220.0,3.0,29.952491,-90.065712,2016-07-15 16:59:28.185665
9808123,50530796,Private room,,MILNEBURG,27,4.5,2,1.0,38.0,1.0,30.013328,-90.054497,2016-07-15 16:59:22.339824
8380678,44165234,Entire home/apt,,EAST CARROLLTON,31,4.5,6,2.0,100.0,,29.950557,-90.123268,2016-07-15 16:59:15.676430
1841190,7054805,Entire home/apt,,CENTRAL CITY - MAGNOLIA,12,4.5,4,0.0,199.0,3.0,29.935878,-90.080822,2016-07-15 16:59:00.016623
13599938,48576356,Entire home/apt,,IRISH CHANNEL,0,,4,2.0,99.0,,29.921297,-90.084839,2016-07-15 16:58:53.507012
6729158,12092679,Entire home/apt,,VIEUX CARRE,53,5.0,4,1.0,200.0,2.0,29.964655,-90.061703,2016-07-15 16:58:45.388446
628308,988686,Private room,,ST. CLAUDE,82,5.0,2,1.0,80.0,1.0,29.966023,-90.042021,2016-07-15 16:58:32.039962
5807180,10621726,Entire home/apt,,SIXTH WARD - TREME - LAFITTE,6,4.0,6,2.0,400.0,3.0,29.966471,-90.067293,2016-07-15 16:58:11.083386
887361,4705434,Entire home/apt,,CITY PARK,44,5.0,3,2.0,90.0,3.0,29.980857,-90.091981,2016-07-15 16:58:08.445824
9187603,18667654,Private room,,ST. THOMAS AREA - LOWER GARDEN DISTRICT,25,5.0,5,1.0,125.0,3.0,29.938868,-90.069705,2016-07-15 16:58:04.549860
5524218,24073017,Private room,,EAST RIVERSIDE,8,4.5,2,1.0,75.0,2.0,29.917456,-90.100916,2016-07-15 16:58:01.050723
12283352,51502908,Entire home/apt,,TOURO,8,5.0,4,1.0,295.0,2.0,29.921282,-90.096545,2016-07-15 16:57:56.549314
13334507,64302001,Entire home/apt,,SEVENTH WARD,2,,16,5.0,700.0,,29.96925,-90.064914,2016-07-15 16:57:47.637132
1806947,7003763,Private room,,BYWATER,8,5.0,2,1.0,109.0,,29.962705,-90.032701,2016-07-15 16:57:41.045724
9809744,39839266,Entire home/apt,,MID-CITY,20,5.0,6,2.0,53.0,,29.964594,-90.090238,2016-07-15 16:57:28.798427
11919909,33990447,Entire home/apt,,VIEUX CARRE,8,5.0,10,4.0,800.0,,29.96405,-90.062762,2016-07-15 16:57:19.322456
7882676,4129134,Entire home/apt,,VIEUX CARRE,35,5.0,4,2.0,325.0,2.0,29.959887,-90.063285,2016-07-15 16:57:17.025053
2177885,1405952,Private room,,MARIGNY,7,4.5,2,1.0,129.0,2.0,29.96557,-90.051568,2016-07-15 16:57:14.126543
5726789,29691722,Entire home/apt,,LEONIDAS - WEST CARROLLTON,32,5.0,2,0.0,80.0,2.0,29.95698,-90.125376,2016-07-15 16:57:05.830089
4283263,4962900,Entire home/apt,,CENTRAL BUSINESS DISTRICT,17,4.5,5,2.0,201.0,,29.951276,-90.071912,2016-07-15 16:56:49.715300
12343499,10979295,Entire home/apt,,MID-CITY,2,,6,2.0,205.0,2.0,29.968342,-90.095011,2016-07-15 16:56:38.112745
12434312,51672765,Entire home/apt,,VIEUX CARRE,2,,4,1.0,140.0,,29.962264,-90.059282,2016-07-15 16:56:20.798793
7950557,30114390,Entire home/apt,,AUDUBON - UNIVERSITY,8,5.0,2,1.0,100.0,3.0,29.91934,-90.12711,2016-07-15 16:56:06.382871
10749004,55573384,Entire home/apt,,NAVARRE,0,,6,2.0,450.0,1.0,29.988104,-90.111656,2016-07-15 16:55:09.778118
10674576,2775826,Entire home/apt,,TULANE - GRAVIER,11,5.0,6,2.0,159.0,3.0,29.965398,-90.084559,2016-07-15 16:54:36.932249
11944568,30479232,Entire home/apt,,MID-CITY,2,,4,1.0,79.0,3.0,29.967405,-90.103194,2016-07-15 16:54:33.875909
10213126,52479038,Entire home/apt,,CENTRAL BUSINESS DISTRICT,12,5.0,2,1.0,150.0,2.0,29.952921,-90.066916,2016-07-15 16:54:06.354334
13325370,24831061,Entire home/apt,,CENTRAL CITY - MAGNOLIA,3,5.0,16,4.0,105.0,1.0,29.93844,-90.078942,2016-07-15 16:53:50.604957
836823,1562990,Entire home/apt,,ST. CLAUDE,37,4.5,5,2.0,150.0,3.0,29.964744,-90.033802,2016-07-15 16:53:43.099260
11716739,20288908,Private room,,IRISH CHANNEL,5,5.0,4,1.0,90.0,2.0,29.925486,-90.079792,2016-07-15 16:53:38.972477
325105,214136,Private room,,MARIGNY,102,5.0,2,1.0,79.0,,29.96574,-90.055104,2016-07-15 16:53:35.997234
5414922,28070139,Private room,,MID-CITY,22,4.5,2,1.0,60.0,2.0,29.964255,-90.095089,2016-07-15 16:53:23.572178
10877108,50452286,Private room,,SEVENTH WARD,22,5.0,2,1.0,80.0,1.0,29.973263,-90.067033,2016-07-15 16:53:20.400969
2255065,11362234,Entire home/apt,,SIXTH WARD - TREME - LAFITTE,80,4.5,15,5.0,300.0,2.0,29.966569,-90.078642,2016-07-15 16:53:01.387729
906027,4848693,Entire home/apt,,ST. THOMAS AREA - LOWER GARDEN DISTRICT,51,5.0,4,1.0,195.0,2.0,29.933665,-90.066794,2016-07-15 16:52:53.947367
10031506,30959751,Entire home/apt,,FAIRGROUNDS - BROAD,9,5.0,3,1.0,102.0,2.0,29.980543,-90.083817,2016-07-15 16:52:47.816766
2695902,13582442,Entire home/apt,,SEVENTH WARD,94,5.0,2,1.0,95.0,1.0,29.966728,-90.064186,2016-07-15 16:52:44.742906
5989905,30975997,Entire home/apt,,VIEUX CARRE,3,4.5,4,1.0,200.0,3.0,29.961261,-90.062472,2016-07-15 16:52:33.640580
1900517,4893447,Entire home/apt,,VIEUX CARRE,102,5.0,3,1.0,200.0,2.0,29.959987,-90.062232,2016-07-15 16:52:30.650537
10548883,43043003,Entire home/apt,,CENTRAL BUSINESS DISTRICT,1,,6,2.0,299.0,2.0,29.952901,-90.066651,2016-07-15 16:52:23.287118
4084430,21184823,Entire home/apt,,MARLYVILLE - FONTAINBLEAU,0,,6,2.0,200.0,1.0,29.953917,-90.121043,2016-07-15 16:52:21.327802
2307301,3130631,Private room,,ALGIERS POINT,52,5.0,2,1.0,59.0,2.0,29.949843,-90.046838,2016-07-15 16:52:11.094097
240473,681237,Entire home/apt,,LEONIDAS - WEST CARROLLTON,8,4.5,5,2.0,195.0,2.0,29.953244,-90.123191,2016-07-15 16:52:07.934618
13413342,76401510,Private room,,ST. ROCH,0,,2,1.0,75.0,1.0,29.98802,-90.049487,2016-07-15 16:52:04.710018
6678233,24305299,Entire home/apt,,CENTRAL BUSINESS DISTRICT,7,4.5,4,1.0,140.0,2.0,29.951847,-90.073089,2016-07-15 16:51:55.914510
9675434,49992469,Entire home/apt,,MID-CITY,14,4.5,6,3.0,175.0,3.0,29.97963,-90.102697,2016-07-15 16:51:41.759533
11972082,10981379,Entire home/apt,,CENTRAL CITY - MAGNOLIA,1,,2,0.0,112.0,,29.93533,-90.080951,2016-07-15 16:51:38.338436
5241466,26490236,Entire home/apt,,ST. CLAUDE,53,4.5,2,1.0,110.0,2.0,29.965103,-90.043026,2016-07-15 16:51:18.270614
7748378,27647868,Entire home/apt,,CITY PARK,6,4.5,7,2.0,300.0,2.0,29.982431,-90.097958,2016-07-15 16:51:14.697286
4671577,85132,Entire home/apt,,CENTRAL CITY - MAGNOLIA,1,,4,0.0,250.0,1.0,29.934154,-90.080876,2016-07-15 16:51:05.832732
10076812,27340386,Private room,,AUDUBON - UNIVERSITY,0,,2,1.0,70.0,1.0,29.930313,-90.119815,2016-07-15 16:50:58.632643
5928392,971,Entire home/apt,,MID-CITY,4,5.0,8,2.0,450.0,4.0,29.973183,-90.10002,2016-07-15 16:50:54.977622
6935698,35232285,Entire home/apt,,BYWATER,25,5.0,4,1.0,125.0,,29.962004,-90.034031,2016-07-15 16:50:48.801184
