room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2359037,1890423,Private room,,MID-CITY,61,5.0,4,1.0,91.0,1.0,29.965225,-90.092871,2016-04-12 18:26:03.808580
5046800,6489256,Entire home/apt,,CENTRAL BUSINESS DISTRICT,1,,4,1.0,299.0,3.0,29.95034,-90.068052,2016-04-12 18:25:02.037621
7176785,3946277,Private room,,IRISH CHANNEL,8,5.0,2,1.0,66.0,1.0,29.921932,-90.081629,2016-04-12 18:24:31.505805
9899026,50277968,Entire home/apt,,SEVENTH WARD,7,4.5,4,1.0,115.0,2.0,29.968254,-90.063316,2016-04-12 18:24:27.113779
11064920,15562279,Entire home/apt,,CENTRAL BUSINESS DISTRICT,0,,3,1.0,4750.0,1.0,29.953022,-90.067596,2016-04-12 18:24:22.389327
10944415,37409832,Entire home/apt,,MID-CITY,6,4.0,2,1.0,99.0,1.0,29.97639,-90.109056,2016-04-12 18:24:04.826159
8196597,921339,Private room,,LEONIDAS - WEST CARROLLTON,6,4.5,2,1.0,49.0,2.0,29.955844,-90.123432,2016-04-12 18:23:13.527104
11039704,17382242,Private room,,CENTRAL CITY - MAGNOLIA,17,5.0,2,1.0,110.0,1.0,29.941125,-90.073027,2016-04-12 18:21:34.713372
4899348,25013366,Entire home/apt,,VIEUX CARRE,40,4.5,4,1.0,225.0,2.0,29.958384,-90.066636,2016-04-12 18:21:13.849387
5568527,28869577,Private room,,ALGIERS POINT,0,,2,1.0,150.0,2.0,29.954752,-90.051981,2016-04-12 18:20:40.422452
212811,1097370,Entire home/apt,,BAYOU ST. JOHN,96,4.5,4,1.0,99.0,3.0,29.975297,-90.082881,2016-04-12 18:20:34.450836
1714142,4454448,Entire home/apt,,VIEUX CARRE,49,5.0,10,4.0,1200.0,2.0,29.961516,-90.066877,2016-04-12 18:20:31.959753
12113343,37429717,Private room,,GENTILLY TERRACE,1,,2,1.0,60.0,2.0,30.005773,-90.052956,2016-04-12 18:20:26.999838
760632,2156820,Private room,,BROADMOOR,95,4.5,2,1.0,60.0,2.0,29.950165,-90.102,2016-04-12 18:20:16.084641
2189630,11167126,Private room,,UPTOWN,4,5.0,2,1.0,225.0,2.0,29.923027,-90.102102,2016-04-12 18:20:08.533895
11047338,4265784,Private room,,MID-CITY,11,5.0,2,1.0,65.0,2.0,29.971069,-90.102419,2016-04-12 18:19:53.670361
6105366,4887507,Entire home/apt,,FAIRGROUNDS - BROAD,5,5.0,4,1.0,140.0,2.0,29.980254,-90.083195,2016-04-12 18:19:37.924413
9632929,1363906,Private room,,MILAN,1,,2,1.0,125.0,3.0,29.931587,-90.099061,2016-04-12 18:19:06.866953
10310092,44122794,Entire home/apt,,IRISH CHANNEL,10,5.0,4,1.0,100.0,1.0,29.92309,-90.082827,2016-04-12 18:17:06.595811
4847836,14475677,Entire home/apt,,UPTOWN,3,5.0,2,1.0,120.0,2.0,29.926355,-90.103676,2016-04-12 18:17:02.494603
9094004,47415278,Private room,,EAST RIVERSIDE,19,4.5,2,1.0,65.0,1.0,29.922252,-90.087142,2016-04-12 18:16:17.090813
6678233,24305299,Entire home/apt,,CENTRAL BUSINESS DISTRICT,5,5.0,4,1.0,120.0,4.0,29.951847,-90.073089,2016-04-12 18:15:24.852793
6897509,36142422,Entire home/apt,,CENTRAL CITY - MAGNOLIA,24,5.0,4,2.0,95.0,1.0,29.934396,-90.08474,2016-04-12 18:14:49.455376
10438085,25012140,Entire home/apt,,MILAN,1,,4,2.0,150.0,,29.928568,-90.101387,2016-04-12 18:14:24.945558
9302023,29819538,Entire home/apt,,VIEUX CARRE,16,4.5,2,0.0,149.0,1.0,29.960496,-90.059783,2016-04-12 18:14:05.217321
182312,2935610,Entire home/apt,,SIXTH WARD - TREME - LAFITTE,285,5.0,2,1.0,95.0,1.0,29.966294,-90.067936,2016-04-12 18:12:42.289137
10121132,4846500,Entire home/apt,,CENTRAL CITY - MAGNOLIA,2,,3,1.0,150.0,1.0,29.944181,-90.077744,2016-04-12 18:09:55.567493
11882896,63353231,Entire home/apt,,CENTRAL BUSINESS DISTRICT,0,,4,1.0,100.0,3.0,29.946022,-90.066736,2016-04-12 18:09:43.313802
252881,1275132,Entire home/apt,,BYWATER,152,5.0,6,2.0,129.0,3.0,29.963778,-90.046797,2016-04-12 18:08:51.062221
6761823,27606334,Private room,,SEVENTH WARD,3,4.5,4,1.0,85.0,1.0,29.973385,-90.071914,2016-04-12 18:08:37.113510
11798898,55964077,Entire home/apt,,SIXTH WARD - TREME - LAFITTE,0,,4,2.0,150.0,4.0,29.971618,-90.078673,2016-04-12 18:08:23.486968
8934891,26819459,Private room,,SIXTH WARD - TREME - LAFITTE,22,5.0,2,1.0,75.0,2.0,29.967806,-90.067551,2016-04-12 18:08:09.844715
8775681,45394531,Private room,,FILLMORE,10,5.0,2,1.0,75.0,1.0,30.005494,-90.076155,2016-04-12 18:07:52.538253
11691034,2386097,Entire home/apt,,MARLYVILLE - FONTAINBLEAU,0,,8,3.0,949.0,3.0,29.956363,-90.119553,2016-04-12 18:07:22.265333
2554095,2930144,Entire home/apt,,ST. CLAUDE,31,5.0,2,0.0,115.0,3.0,29.96565,-90.042367,2016-04-12 18:06:24.806869
12224161,65756724,Private room,,SIXTH WARD - TREME - LAFITTE,0,,1,1.0,90.0,1.0,29.963856,-90.06692,2016-04-12 18:04:59.086246
901827,4807748,Entire home/apt,,CENTRAL CITY - MAGNOLIA,99,5.0,5,2.0,170.0,2.0,29.935728,-90.076614,2016-04-12 18:04:35.587535
5445041,26965698,Entire home/apt,,VIEUX CARRE,61,4.5,2,1.0,200.0,2.0,29.960808,-90.058795,2016-04-12 18:04:16.939785
9905457,49518387,Private room,,ST. CLAUDE,1,,4,1.0,90.0,,29.972237,-90.038351,2016-04-12 18:04:10.538909
10706120,18999393,Entire home/apt,,AUDUBON - UNIVERSITY,3,5.0,5,1.0,99.0,1.0,29.943844,-90.115995,2016-04-12 18:03:58.768736
10357479,53307437,Entire home/apt,,CENTRAL CITY - MAGNOLIA,10,5.0,6,2.0,200.0,1.0,29.940112,-90.075134,2016-04-12 18:03:41.772053
1922433,4844670,Entire home/apt,,WEST RIVERSIDE,8,5.0,2,1.0,200.0,2.0,29.920503,-90.116944,2016-04-12 18:02:45.961852
5089643,12634576,Entire home/apt,,FRERET,29,5.0,4,1.0,130.0,3.0,29.937884,-90.109545,2016-04-12 18:01:52.816561
2102437,5086005,Entire home/apt,,SIXTH WARD - TREME - LAFITTE,112,4.5,8,2.0,95.0,1.0,29.967012,-90.065568,2016-04-12 18:00:37.529159
9075633,21881810,Private room,,BROADMOOR,9,5.0,2,1.0,45.0,1.0,29.947504,-90.102503,2016-04-12 18:00:24.385039
