id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3902618,"Unbeatable Spot, 100 Walk Score CM2",4962900,Jordan,District 19,36.16288066768626,-86.7820722030481,Entire home/apt,294,2,0,,,38,365
4338529,Breathtaking City View by Pool! CV2,4962900,Jordan,District 19,36.15636911684883,-86.76566340944439,Entire home/apt,289,2,3,2015-02-15,0.38,38,365
5684356,Fantastic Downtown Location! BL1,4962900,Jordan,District 19,36.16465926077656,-86.7764713739578,Entire home/apt,264,2,0,,,38,363
6466330,Hawkins Executive - Downtown/Gulch,319913,Amy & Paul,District 19,36.147448326654605,-86.78620666281624,Entire home/apt,824,2,0,,,14,347
3976359,Downtown Industrial Studio #1,16246720,Sara And The Team,District 19,36.16497576042157,-86.77502794142872,Entire home/apt,200,2,10,2015-06-11,1.00,22,347
4047772,3BR/2BA Condo on Music Row/Vandy,2800334,Kristin,District 19,36.14651591907543,-86.79304258726492,Entire home/apt,500,2,12,2015-06-28,1.77,3,291
1975305,"100 Walk Score, Unbeatable Spot CM2",4962900,Jordan,District 19,36.16150032431743,-86.78115243518037,Entire home/apt,294,2,2,2014-02-11,0.11,38,365
1975625,Outdoor Pool and Hot Tub!! 1N2,4962900,Jordan,District 19,36.15935192729598,-86.78852530619474,Entire home/apt,289,2,1,2014-09-07,0.10,38,361
6623382,Riverfront Studio #2 (Sleeps 8+),16246720,Sara And The Team,District 19,36.16392739826946,-86.77726694207654,Entire home/apt,400,1,0,,,22,361
3038645,Close to Music Row in the Gulch VL2,4962900,Jordan,District 19,36.15273408709182,-86.78321467553259,Entire home/apt,274,2,5,2015-01-31,0.45,38,364
5627513,Downtown - 3bd/2br/2ba - Brand New,25783346,Steven,District 19,36.16420975321564,-86.7776095520361,Entire home/apt,349,1,10,2015-06-08,2.83,2,121
5162285, Luxury Downtown 2BDR-Gulch-#264!!,24241984,Patsy,District 19,36.15379831058852,-86.78223988077302,Entire home/apt,299,2,11,2015-06-07,2.17,9,329
6740282,Gulch bedroom/bathroom suite,35295453,Crisman,District 19,36.15928585430925,-86.7889675081585,Private room,175,1,0,,,1,341
6780925,Downtown Nashville! WALK TO BARS!,32498896,Ricky,District 19,36.178510496819676,-86.79054228303764,Entire home/apt,250,3,0,,,2,135
3065425,Retreat in Downtown Nashville,6357475,Brinn-Heather,District 19,36.18384050770338,-86.79439059483103,Private room,95,1,26,2015-06-16,2.15,2,346
2536102,Downtown Nashville Getaway,6357475,Brinn-Heather,District 19,36.182345990496565,-86.79456002118475,Private room,110,1,38,2015-06-20,2.42,2,350
3258485,1 BR+1bath + tv room near downtown ,15808221,Rachel,District 19,36.181799325974964,-86.7927334303792,Private room,100,1,4,2014-08-13,0.31,2,331
5499907,Welcome to The Katie House!,28526537,Juli,District 19,36.17187286950385,-86.78146832301256,Entire home/apt,195,2,6,2015-06-20,1.91,1,314
6695057,Cozy Loft in Historic Germantown,5412834,Elise,District 19,36.17837467188914,-86.79494992501535,Entire home/apt,150,1,0,,,1,261
6259945,DOWNTOWN NASHVILLE 2BR TOWNHOUSE,32523711,Ayman,District 19,36.17888328824239,-86.79003694110695,Entire home/apt,200,30,7,2015-07-01,6.56,1,90
5868427,DOWNTOWN CONDO WALK TO BROADWAY!!!,25162776,Brad,District 19,36.17204111937792,-86.78215051503193,Entire home/apt,130,2,5,2015-06-19,2.68,4,308
5658321,Germantown Condo. Roof Deck/Bikeway,29328578,Richard And Linda,District 19,36.179115876034736,-86.78960769375922,Entire home/apt,220,5,1,2015-06-17,1,1,206
6670267,Gather here!  2.2 miles to downtown,34911856,Kendra,District 19,36.18388097732423,-86.79395221916253,Entire home/apt,400,3,0,,,1,80
6254681,STAY & PLAY IN DOWNTOWN!,1554315,Stephanie,District 19,36.174460660610485,-86.7802736771348,Entire home/apt,250,2,0,,,9,305
6743048,4th ave north,5899579,Drew,District 19,36.185240468141735,-86.79414215689033,Entire home/apt,800,1,0,,,2,365
5758321,Minutes from Downtown Nashville!,29871480,Kelly,District 19,36.1760777656694,-86.79722234451833,Entire home/apt,330,1,3,2015-07-05,1.67,1,347
1550764,PVTSuite3/Wetbar/Bath/5 mins to DT!,1684051,Rick,District 19,36.17295343964264,-86.79340439946698,Entire home/apt,105,1,203,2015-07-07,8.92,5,34
4440314,Downtown Nashville Home,23047537,Amanda,District 19,36.18088778738428,-86.79325434658323,Entire home/apt,700,3,6,2015-06-29,1.58,1,346
3398939,Downtown Nashville Condo w/ pool,17145199,Brad And Mike,District 19,36.17468505479332,-86.78228602243989,Entire home/apt,130,2,5,2015-04-14,0.41,4,311
6079215,UrbanCountry Downtown Waterfront.,31555957,Lori Beth,District 19,36.17638134266715,-86.7826035312211,Entire home/apt,250,2,6,2015-06-30,4.00,1,340
3915843,Downtown 2 Bedroom Condo on River,17145199,Brad And Mike,District 19,36.17423600283922,-86.78128715609472,Entire home/apt,250,3,8,2015-06-11,0.91,4,272
4354794,Downtown Riverfront Condo,15892790,Mark,District 19,36.17481408764098,-86.78114082523281,Entire home/apt,125,1,22,2015-06-25,3.57,1,323
3066535,Nashville Condo,3115098,Chad,District 19,36.1750858972702,-86.78043865576333,Entire home/apt,169,1,49,2015-06-07,3.70,2,321
5093759, Location! Location! Location!,21018265,Denise,District 19,36.17467303946174,-86.78192354850027,Entire home/apt,225,2,4,2015-05-03,0.86,1,316
1955811,COZY DOWNTOWN HOME!!!,10108917,Heath,District 19,36.18375385174347,-86.79637013705695,Entire home/apt,139,1,62,2015-06-20,3.16,1,360
329997,PRIVATE Studio - Near Downtown!!,1684051,Rick,District 19,36.17641123743564,-86.79845965875059,Entire home/apt,95,1,347,2015-07-06,8.42,5,27
1675542,Artist/designer home in Germantown!,8866645,Kelly,District 19,36.17735107927178,-86.79338141519737,Entire home/apt,250,3,0,,,1,29
6416008,Best block in Germantown/Downtown!,33467316,Matt And Ashlee,District 19,36.17666228105324,-86.78917646629847,Entire home/apt,195,1,2,2015-06-15,2,1,348
4122075,3BD home in the HEART of NASHVILLE,20488843,Josh,District 19,36.1498690192797,-86.78766830841333,Entire home/apt,350,1,4,2014-12-08,0.45,1,350
3101840,Spacious downtown condo,15770369,Kaitlynn,District 19,36.17202488615003,-86.78040153284283,Entire home/apt,225,1,6,2015-06-07,2.17,1,207
4604635,Modern new Home w/ view of Downtown,23861014,Nima,District 19,36.18399465801116,-86.79193481825227,Entire home/apt,899,2,13,2015-07-05,1.81,2,323
5820757,STUNNING loft in Downtown Nashville,30209382,Lauren,District 19,36.17898201149475,-86.79492445916502,Entire home/apt,175,1,3,2015-06-16,1.91,1,199
4494569,"Germantown 4bd,3.5 bath w City View",23314330,Sara,District 19,36.18089878587912,-86.79248797974098,Entire home/apt,800,1,11,2015-06-14,1.42,2,351
3123909,Spacious Downtown Townhouse,7961115,Blake,District 19,36.18585822783359,-86.78904844978464,Entire home/apt,600,2,28,2015-06-29,2.23,1,349
3987435,NEW 3-story 3 bedroom - Germantown,9450865,Jordan,District 19,36.1849940094357,-86.79041236223804,Entire home/apt,550,1,20,2015-06-21,2.80,1,314
6467303,Modern New Home with 3rd level Deck,23861014,Nima,District 19,36.18535911534197,-86.79002707587564,Entire home/apt,799,2,1,2015-06-07,1,2,333
5174858,Apt Overlooking Midtown's Best!,23029956,Ricky,District 19,36.149084718848236,-86.79528604272645,Entire home/apt,115,1,50,2015-07-07,10.20,4,151
4650840,Cozy convenient downtown apt,24075707,Alex,District 19,36.14982336859202,-86.78930136591771,Entire home/apt,100,1,19,2015-06-20,2.65,1,6
6624292,Riverfront Studio #5 (sleeps 12+),16246720,Sara And The Team,District 19,36.165348062731354,-86.77702274689548,Entire home/apt,650,1,0,,,22,348
1906253,Good Times Loft - Heart of Downtown,319913,Amy & Paul,District 19,36.16332085921783,-86.77712451248122,Entire home/apt,266,3,3,2015-05-25,0.18,14,309
6627080,Riverfront Studio #3 (Sleeps 10+),16246720,Sara And The Team,District 19,36.16424455431018,-86.77510549728355,Entire home/apt,550,1,1,2015-06-29,1,22,362
4688669,Luxurious New Downtown 2 Bdr Condo!,24241984,Patsy,District 19,36.15651827068647,-86.76642208121967,Entire home/apt,349,2,4,2015-05-03,0.63,9,297
4154832,Downtown Hostel - FEMALE BunkBed #1,16246720,Sara And The Team,District 19,36.16399823450619,-86.77677974396379,Shared room,35,1,10,2015-06-26,1.27,22,346
3643239,Downtown Hostel - Private Room #1,16246720,Sara And The Team,District 19,36.16557827099703,-86.77522061145632,Private room,128,1,11,2015-06-29,1.09,22,351
3653622,Spacious-Roof Deck-Skyline view!,18481543,Alyssa,District 19,36.1807637566614,-86.79331192491725,Entire home/apt,349,2,13,2015-06-14,1.19,1,197
914787,Stay in Downtown Nashville!,4910520,Frank,District 19,36.16441252146689,-86.77962264559308,Entire home/apt,175,1,100,2015-07-10,3.52,2,320
6659274,807 18th Ave S - Demonbruen,19072667,Matt,District 19,36.14959187162085,-86.79405887850501,Entire home/apt,400,3,0,,,1,13
