room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15157762,1271,16246720,Shared room,,Nashville,,19,5,5.0,4,1.0,,32.0,,2017-05-16 10:05:47.073685,36.165382,-86.775559,0101000020E6100000954737C2A2B155C06DACC43C2B154240
3740203,1271,16246720,Shared room,,Nashville,,19,115,5.0,4,1.0,,32.0,,2017-05-16 10:05:47.062037,36.16406,-86.776862,0101000020E610000054E0641BB8B155C0774A07EBFF144240
3717911,1271,16246720,Shared room,,Nashville,,19,81,5.0,4,1.0,,32.0,,2017-05-16 10:05:47.059030,36.164167,-86.776836,0101000020E6100000C09657AEB7B155C08D0A9C6C03154240
14885793,1271,93362885,Shared room,,Nashville,,7,0,0.0,1,1.0,,22.0,,2017-05-16 10:05:44.985140,36.211999,-86.711243,0101000020E610000092205C0185AD55C071E481C8221B4240
18496803,1271,11313690,Shared room,,Nashville,,6,0,0.0,1,1.0,,30.0,,2017-05-16 10:05:44.982908,36.173499,-86.743987,0101000020E61000008C69A67B9DAF55C0C171193735164240
18271409,1271,71979712,Shared room,,Nashville,,15,1,0.0,1,1.0,,26.0,,2017-05-16 10:05:44.979796,36.172537,-86.698332,0101000020E61000000470B378B1AC55C0CB2C42B115164240
18158378,1271,40723638,Shared room,,Nashville,,27,0,0.0,2,1.0,,30.0,,2017-05-16 10:05:44.969018,36.051381,-86.71796,0101000020E610000084F57F0EF3AD55C0615111A793064240
4154832,1271,16246720,Shared room,,Nashville,,19,109,5.0,4,1.0,,32.0,,2017-05-16 10:05:44.966012,36.163998,-86.77678,0101000020E6100000F60B76C3B6B155C0014EEFE2FD144240
18656239,1271,894612,Shared room,,Nashville,,21,0,0.0,1,1.0,,11.0,,2017-05-16 10:05:44.963596,36.172356,-86.804505,0101000020E6100000FC1D8A027DB355C07BA2EBC20F164240
18674062,1271,47061664,Shared room,,Nashville,,12,0,0.0,1,1.0,,25.0,,2017-05-16 10:05:44.952783,36.152051,-86.595097,0101000020E6100000A73CBA1116A655C07C293C6876134240
3284008,1271,16598536,Shared room,,Nashville,,6,88,4.5,2,1.0,,20.0,,2017-05-16 10:05:44.949760,36.172802,-86.742917,0101000020E61000001EA9BEF38BAF55C079573D601E164240
